,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
18670,101336,2025,0,0,0.98984045,0.010159516,3.601958e-11,9.611796e-12
18671,101337,2025,0,0,0.97975916,0.020240808,6.707084e-11,7.484458e-12
18672,101338,2025,0,0,0.9653446,0.0346554,1.0664182e-10,6.3233667e-12
18673,101339,2025,0,0,0.9958189,0.0041810903,1.0341321e-11,1.0147415e-11
18674,101340,2025,0,0,0.99705267,0.0029473354,4.1864806e-12,3.6762377e-12
18675,101341,2025,0,0,0.9922857,0.007714255,1.1236718e-11,4.2522244e-12
18676,101342,2025,0,0,0.9816657,0.01833435,3.5439113e-11,4.0362397e-12
18677,101343,2025,0,0,0.930345,0.06965509,2.701478e-10,7.8832765e-12
18678,101344,2025,0,0,0.88734365,0.11265629,4.9179677e-10,8.953393e-12
18679,101345,2025,1,1,0.13467684,0.8653228,3.16792e-07,7.796609e-11
18680,101347,2025,0,0,0.91937274,0.080627225,4.243775e-10,8.8688e-12
18681,101348,2025,0,0,0.9679445,0.032055467,7.5974886e-11,2.6785197e-12
18682,101349,2025,0,0,0.9810496,0.018950336,3.8763395e-11,3.3922281e-12
18683,101350,2025,0,0,0.9892917,0.010708353,1.8574395e-11,2.2696257e-12
18684,101351,2025,0,0,0.9413426,0.058657397,2.6744965e-10,3.7072433e-12
18685,101354,2025,1,1,0.043987874,0.9560108,1.2584212e-06,6.893212e-11
18686,101355,2025,1,1,0.23177646,0.7682234,1.3300375e-07,3.2139374e-11
18687,101356,2025,1,1,0.00058942544,0.9994093,1.2403746e-06,7.547342e-10
18688,101357,2025,1,1,0.0010137546,0.9989826,3.6263116e-06,1.2152063e-09
18689,101358,2025,1,1,0.0017423392,0.99825245,5.2130335e-06,7.7382944e-10
18690,101359,2025,1,1,0.0060140137,0.9939831,2.9447035e-06,4.4246307e-10
18691,101360,2025,1,1,0.040976517,0.95902306,4.8040886e-07,1.4903626e-10
18692,101361,2025,0,0,0.9469003,0.053099643,1.5371801e-10,6.1803956e-12
18693,101362,2025,0,0,0.923643,0.07635702,3.4216935e-10,1.1742004e-11
18694,101363,2025,0,0,0.8446088,0.15539125,1.2823584e-09,2.0322383e-11
18695,101364,2025,0,0,0.5377906,0.46220943,1.2025693e-08,8.301064e-11
18696,101365,2025,1,1,0.07304969,0.9269501,1.9876433e-07,1.788664e-10
18697,101366,2025,1,1,0.11188597,0.8881139,1.2784064e-07,1.723983e-10
18698,101367,2025,1,1,0.004190571,0.99580705,2.3399891e-06,5.3956417e-10
18699,101368,2025,1,1,0.0005075436,0.9994918,6.418384e-07,5.444472e-10
18700,101369,2025,1,1,0.00054285483,0.9994561,9.808869e-07,6.649698e-10
18701,101370,2025,1,1,0.0005200582,0.99947876,1.1763547e-06,6.538579e-10
18702,101371,2025,1,1,0.0015795926,0.99841475,5.6580066e-06,8.2308266e-10
18703,101372,2025,1,1,0.0022317984,0.9977642,3.9935694e-06,6.2906313e-10
18704,101373,2025,1,1,0.005770702,0.9942266,2.7487492e-06,4.4932663e-10
18705,101374,2025,1,1,0.0048662135,0.9951303,3.4715604e-06,4.82812e-10
18706,101375,2025,1,1,0.08057894,0.91942084,2.1155267e-07,1.8305013e-10
18707,101376,2025,1,1,0.07141754,0.92858225,2.2673676e-07,2.0137832e-10
18708,101377,2025,1,1,0.07064661,0.9293531,2.2378596e-07,2.0639822e-10
18709,101380,2025,1,1,0.0004967303,0.9995005,2.760009e-06,7.0888395e-10
18710,101382,2025,1,1,0.00056026765,0.99943596,3.7694433e-06,9.2505487e-10
18711,101383,2025,1,1,0.00089005666,0.99909234,1.7574534e-05,1.1146821e-09
18712,101384,2025,1,1,0.00066079723,0.99933064,8.649891e-06,1.7148454e-09
18713,101385,2025,1,1,0.00058747653,0.99940145,1.1025286e-05,8.632117e-10
18714,101386,2025,1,1,0.0009958223,0.99898654,1.7616283e-05,9.501404e-10
18715,101387,2025,1,1,0.0013409357,0.99864274,1.6277723e-05,4.1967863e-10
18716,101388,2025,1,1,0.0007030345,0.9992889,7.99686e-06,1.5854135e-09
18717,101389,2025,1,1,0.001089056,0.99888486,2.6087104e-05,1.8715152e-09
18718,101390,2025,1,1,0.00051227893,0.9994816,6.0743464e-06,1.0745836e-09
18719,101391,2025,1,1,0.0006846858,0.99931157,3.8029314e-06,9.2325997e-10
18720,101393,2025,1,1,0.0029466269,0.9970511,2.258727e-06,2.651675e-09
18721,101394,2025,1,1,0.0040274193,0.9959706,1.9736415e-06,2.3396827e-09
18722,101395,2025,1,1,0.0053452835,0.9946532,1.4715519e-06,3.1229628e-09
18723,101396,2025,1,1,0.0016741629,0.9983236,2.1917951e-06,1.4229926e-09
18724,101397,2025,1,1,0.00093613367,0.9990546,9.233432e-06,1.367763e-09
18725,101399,2025,1,1,0.0011241934,0.99887246,3.308863e-06,4.193166e-10
