,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
20135,108091,2025,1,1,0.005380761,0.99461913,3.1052227e-08,4.971051e-10
20136,108092,2025,1,1,0.009990463,0.9900095,1.1599796e-08,4.3887066e-10
20137,108093,2025,1,1,0.003574036,0.9964259,2.2989491e-08,4.5811674e-10
20138,108094,2025,1,1,0.002606017,0.99739397,1.2417927e-08,2.0657964e-10
20139,108095,2025,1,1,0.002711128,0.99728894,7.804358e-09,2.2890666e-10
20140,108096,2025,1,1,0.0030780581,0.99692196,2.8563103e-09,1.03500354e-10
20141,108097,2025,1,1,0.014289582,0.98571044,1.1339955e-09,1.941955e-10
20142,108098,2025,1,1,0.005594366,0.9944056,3.0434968e-09,2.5720573e-10
20143,108099,2025,0,1,0.116743214,0.8832568,5.535537e-10,4.7914755e-10
20144,108100,2025,1,1,0.022132708,0.97786725,1.979501e-09,5.168685e-10
20145,108101,2025,1,1,0.0101945,0.9898056,3.6863776e-09,4.4011467e-10
20146,108102,2025,1,1,0.028726175,0.9712738,2.689793e-09,5.7629285e-10
20147,108103,2025,0,1,0.1469004,0.8530995,4.942408e-10,3.198114e-10
20148,108104,2025,0,1,0.39564934,0.60435075,1.4442073e-10,2.1413851e-10
20149,108105,2025,0,0,0.83237237,0.16762765,4.7595166e-12,2.9682905e-11
20150,108106,2025,0,0,0.94678545,0.05321457,8.7108375e-13,9.925994e-12
20151,108108,2025,0,0,0.999683,0.00031698012,1.9972114e-17,1.7206427e-14
20152,108111,2025,0,0,0.9918189,0.008181051,8.360754e-15,5.141817e-13
20153,108112,2025,0,0,0.9841824,0.01581753,3.064313e-14,5.505251e-13
20154,108113,2025,0,0,0.9807226,0.019277338,5.056273e-14,1.5412368e-12
20155,108114,2025,0,0,0.93608814,0.0639119,3.7019796e-13,4.3232527e-12
20156,108115,2025,0,0,0.6117596,0.38824037,1.8655098e-11,5.4639755e-11
20157,108116,2025,0,1,0.32695657,0.67304343,9.790135e-11,2.5173486e-10
20158,108117,2025,0,0,0.9823735,0.017626554,2.6837729e-14,8.125695e-13
20159,108118,2025,0,0,0.99784374,0.0021562818,5.68281e-16,9.373097e-14
20160,108119,2025,0,0,0.9926178,0.0073821563,6.516955e-15,6.658705e-13
20161,108120,2025,0,0,0.9998597,0.00014026929,3.8324680000000004e-18,6.7443398e-15
20162,108121,2025,0,0,0.99986196,0.00013799279,6.936860000000001e-18,2.4923995e-14
20163,108122,2025,0,0,0.99994445,5.5495173e-05,5.309907e-19,2.4584665e-15
20164,108123,2025,0,0,0.9975702,0.002429817,6.287661600000001e-16,1.9099731e-13
20165,108124,2025,0,0,0.99645776,0.0035422577,1.6744342e-15,4.8794177e-13
20166,108125,2025,0,0,0.99763227,0.002367724,1.1609259e-15,3.7515667e-13
20167,108126,2025,0,0,0.9722722,0.02772785,5.3660242e-14,1.969505e-12
