Unnamed: 0,SQ,Ano,densidade_hec,ConcentracaoBOs,EstagioClusterizacao,Startups,UsoeOcupacao_1,UsoeOcupacao_2,UsoeOcupacao_3,EconomiaUrbana,Inovacao_1,Inovacao_2,MobilidadeUrbana_1,MobilidadeUrbana_2,MobilidadeUrbana_3,Usolocal_1,Usolocal_2,DinamicaOcupacao,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
34,001037,2025,102.733650582832,60112.0,1,-4844.542265637225,15.178395359198667,-53.64221817550699,-2861.5571524555253,7705.541186040466,-1603.6241776707575,-22.60303649857054,-80636.65955404946,15858.445406869778,15212.145024504103,2.61224845399034,-2002.9953643493973,-55.49693942447644,001037,2025,1,1,0.0005791655,0.9993851,2.3724503e-07,3.5451874e-05
35,001038,2025,102.733650582832,67320.0,1,-4872.954639332284,-37.29637747272852,-56.5119115713933,-2854.197323572051,7705.541186040466,-1541.9087076882315,-22.11355593980784,-80636.65955404946,15858.445406869778,15212.1450245041,-49.26219904545209,-2008.7239356304565,-59.6801547073485,001038,2025,1,1,0.0005486466,0.9993561,2.497916e-05,7.027399e-05
36,001039,2025,38.0055285141636,47310.0,1,-4791.497559472041,-36.83320434193492,-56.65880903840672,-2931.4915435722014,-1739.834844519238,-1466.831760198008,-21.51810221940163,-117526.93829423256,23667.465296459068,5555.381830458083,-49.40180776624633,-1981.0012547528208,-60.66927510318071,001039,2025,1,1,0.001148874,0.9905359,0.008147785,0.00016738973
37,001040,2025,38.0055285141636,22290.0,1,-4785.530616102416,203.4050227448775,-58.47480843173229,-2949.3587597062774,-1739.834844519238,-1421.8718201098916,-21.16151388583632,-117526.93829423256,23667.465296459068,5555.381830458083,190.84323057995772,-2022.378504001684,-61.707931342816906,001040,2025,1,1,0.00093474844,0.96181256,0.03712988,0.00012280165
38,001041,2025,38.0055285141636,52920.0,1,-4744.524666853851,215.36537998730367,-58.49718641820023,-2943.9578996515656,-1739.834844519238,-1361.1774052377746,-20.680131566074504,-117526.93829423256,23667.465296459068,5555.381830458083,202.80308148914895,-2014.2196971413755,-61.68937683869015,001041,2025,1,1,0.0014302606,0.8319568,0.16658616,2.6732458e-05
39,001042,2025,346.325249141356,38493.0,1,-4670.391836883002,197.2532244491785,-59.57909146191983,-2824.229420394137,-1739.834844519238,-1260.202578930798,-19.87927540447191,-117526.0656159894,23671.0097714529,5555.104864311424,184.8442210224192,-2045.197426495263,-60.03241202776959,001042,2025,1,1,0.005115393,0.98386496,0.011019195,4.595109e-07
40,001043,2025,103.886384945535,735.0,1,-4645.008700867496,-38.47765856389095,-57.08792419482005,-2612.3807931769416,-1739.834844519238,-1158.7177498466806,-19.074374285512665,-117525.37459209951,23673.816438076177,5554.885550692068,-49.19237811173915,-1962.2090251566333,-61.72648584694365,001043,2025,1,1,0.003404531,0.99276125,0.0038342543,7.384007e-09
41,001044,2025,218.252458288068,46368.0,1,-4839.167420436334,476.9448495071747,-57.051972338906914,-3008.7695027910704,7705.541186040466,-1528.340485567409,-22.00594303583097,-80637.41533852086,15855.375708294512,15212.384891504793,462.80483699877817,-2038.762424798546,-58.03265296221017,001044,2025,1,1,0.00072502485,0.9992151,2.9510275e-05,3.0401594e-05
42,001045,2025,73.6399039008248,10690.0,1,-4851.485406654936,13.324921361843415,-58.88305229604714,-2864.648357912589,7705.541186040466,-1628.6396457159003,-22.801440323088347,-80636.58392927735,15858.752564881062,15212.121023101652,0.7382064361936571,-2030.837047523615,-60.27736549804927,001045,2025,1,1,0.00041221545,0.9995442,1.342601e-08,4.3459953e-05
43,001046,2025,241.924745865236,67712.0,1,-4779.699752699088,187.9491557333101,-57.28481257671716,-2984.366540379296,7705.541186040466,-1533.3827154280712,-22.045934199963817,-80637.47660327761,15855.126875004627,15212.404335399187,174.89109898418175,-2021.5098758113709,-61.22322980141606,001046,2025,1,1,0.0011943576,0.998784,1.2329989e-05,9.344928e-06
