variavel,cluster_a,cluster_b,n_a,n_b,U,p_raw,p_adj,significativo
5a10SalariosMinimos,3,2,3221,5848,12254733.5,4.885223305863346e-125,5.862267967036016e-125,True
DistanciaPatrimonioHistorico,1,0,35757,357524,3370010327.0,0.0,0.0,True
DistanciaPatrimonioHistorico,1,3,35757,12724,424452050.5,0.0,0.0,True
DistanciaPatrimonioHistorico,1,2,35757,5848,113110752.5,9.189997842956864e-24,9.189997842956864e-24,True
DistanciaPatrimonioHistorico,0,3,357524,12724,4419834336.5,0.0,0.0,True
DistanciaPatrimonioHistorico,0,2,357524,5848,1629500496.5,0.0,0.0,True
DistanciaPatrimonioHistorico,3,2,12724,5848,5340952.0,0.0,0.0,True
OrigemMotivoTrabalhoComercioServico,1,0,35757,357524,3991928061.5,0.0,0.0,True
OrigemMotivoTrabalhoComercioServico,1,3,35757,12724,273171041.0,6.511808396958199e-249,9.7677125954373e-249,True
OrigemMotivoTrabalhoComercioServico,1,2,35757,5848,112745821.5,6.491705739691437e-22,6.491705739691437e-22,True
OrigemMotivoTrabalhoComercioServico,0,3,357524,12724,3547981739.0,0.0,0.0,True
OrigemMotivoTrabalhoComercioServico,0,2,357524,5848,1496080702.5,0.0,0.0,True
OrigemMotivoTrabalhoComercioServico,3,2,12724,5848,33141633.5,4.857410893010647e-33,5.828893071612776e-33,True
TO,1,0,35757,357524,8384739158.0,0.0,0.0,True
TO,1,3,35757,12724,223150259.5,0.0013839499372781268,0.0013839499372781268,True
TO,1,2,35757,5848,96520479.0,3.939276226066225e-21,5.9089143390993374e-21,True
TO,0,3,357524,12724,1617384409.5,0.0,0.0,True
TO,0,2,357524,5848,651330583.0,0.0,0.0,True
TO,3,2,12724,5848,35422980.0,1.5124636086706206e-07,1.8149563304047446e-07,True
DestinoMotivoEducacao,1,0,35757,357524,3536505413.5,0.0,0.0,True
DestinoMotivoEducacao,1,3,35757,12724,275960193.0,5.795547621839728e-280,8.693321432759592e-280,True
DestinoMotivoEducacao,1,2,35757,5848,122757436.0,2.073810624735462e-101,2.4885727496825543e-101,True
DestinoMotivoEducacao,0,3,357524,12724,3777391452.5,0.0,0.0,True
DestinoMotivoEducacao,0,2,357524,5848,1657090545.5,0.0,0.0,True
DestinoMotivoEducacao,3,2,12724,5848,36297027.5,0.007459665018236243,0.007459665018236243,True
OrigemMotivotrabalhoindustria,1,0,35757,357524,3591651306.0,0.0,0.0,True
OrigemMotivotrabalhoindustria,1,3,35757,12724,259800164.0,1.468752949392209e-125,2.2031294240883138e-125,True
OrigemMotivotrabalhoindustria,1,2,35757,5848,114605106.5,3.6736167989131797e-32,4.408340158695815e-32,True
OrigemMotivotrabalhoindustria,0,3,357524,12724,3568870070.5,0.0,0.0,True
OrigemMotivotrabalhoindustria,0,2,357524,5848,1593145654.0,0.0,0.0,True
OrigemMotivotrabalhoindustria,3,2,12724,5848,35662474.0,5.478248560761475e-06,5.478248560761475e-06,True
ResidencialAltoPadraoVert_pct,1,0,35757,357524,6805567067.5,0.0,0.0,True
ResidencialAltoPadraoVert_pct,1,3,35757,12724,232970812.5,1.5642054357353882e-19,1.5642054357353882e-19,True
ResidencialAltoPadraoVert_pct,1,2,35757,5848,96270699.5,2.1679894554588817e-86,2.6015873465506578e-86,True
ResidencialAltoPadraoVert_pct,0,3,357524,12724,2180738806.0,0.0,0.0,True
ResidencialAltoPadraoVert_pct,0,2,357524,5848,895200031.0,0.0,0.0,True
ResidencialAltoPadraoVert_pct,3,2,12724,5848,33332140.0,7.277635576441078e-121,1.0916453364661618e-120,True
NumerodePavimentos,1,0,35757,357524,8555539910.5,0.0,0.0,True
NumerodePavimentos,1,3,35757,12724,244017914.5,4.1522519436817995e-38,4.1522519436817995e-38,True
NumerodePavimentos,1,2,35757,5848,86447968.0,9.860200782403204e-114,1.1832240938883844e-113,True
NumerodePavimentos,0,3,357524,12724,1820639075.0,0.0,0.0,True
NumerodePavimentos,0,2,357524,5848,529146134.5,0.0,0.0,True
NumerodePavimentos,3,2,12724,5848,29425698.0,5.939775080056944e-126,8.909662620085416e-126,True
TempoMediodeViagem,1,0,35757,357524,5673636865.0,8.021425860918468e-270,1.6042851721836936e-269,True
TempoMediodeViagem,1,3,35757,12724,311539916.5,0.0,0.0,True
TempoMediodeViagem,1,2,35757,5848,108674908.5,1.2958466989161052e-06,1.2958466989161052e-06,True
TempoMediodeViagem,0,3,357524,12724,3699229428.0,0.0,0.0,True
TempoMediodeViagem,0,2,357524,5848,1173306876.5,3.8173503329097875e-58,4.580820399491745e-58,True
TempoMediodeViagem,3,2,12724,5848,27865113.5,9.235787429603636e-167,1.3853681144405455e-166,True
ComercioServicos_pct,1,0,35757,357524,7951513242.0,0.0,0.0,True
ComercioServicos_pct,1,3,35757,12724,245114678.5,2.0784600651458595e-39,2.6402043904412247e-39,True
ComercioServicos_pct,1,2,35757,5848,100395160.5,8.829381099955897e-07,8.829381099955897e-07,True
ComercioServicos_pct,0,3,357524,12724,1955389982.0,6.67099840436269e-170,1.334199680872538e-169,True
ComercioServicos_pct,0,2,357524,5848,745297303.0,0.0,0.0,True
ComercioServicos_pct,3,2,12724,5848,32811133.5,2.2001703253676872e-39,2.6402043904412247e-39,True
Estrangeira,1,0,35757,357524,7651715870.5,0.0,0.0,True
Estrangeira,1,3,35757,3221,37615680.5,1.2532766933495692e-234,1.8799150400243538e-234,True
Estrangeira,1,2,35757,5848,89670126.5,1.2009444740711983e-68,1.2009444740711983e-68,True
Estrangeira,0,3,357524,3221,273683396.0,0.0,0.0,True
Estrangeira,0,2,357524,5848,680579416.5,0.0,0.0,True
Estrangeira,3,2,3221,5848,11564430.5,1.7138051956402677e-72,2.056566234768321e-72,True
Numero_Viagens,1,0,35757,357524,4602067571.5,0.0,0.0,True
Numero_Viagens,1,3,35757,12724,228214175.0,0.5912234611386755,0.5912234611386755,False
Numero_Viagens,1,2,35757,5848,112228076.5,1.9980737691565044e-19,2.9971106537347566e-19,True
Numero_Viagens,0,3,357524,12724,2874845754.5,0.0,0.0,True
Numero_Viagens,0,2,357524,5848,1407958414.5,0.0,0.0,True
Numero_Viagens,3,2,12724,5848,39690719.5,2.386140744229007e-13,2.8633688930748086e-13,True
DistanciaAreasVerdes,1,0,35757,357524,6059630693.0,2.74217874485228e-59,4.11326811727842e-59,True
DistanciaAreasVerdes,1,3,35757,12724,406268428.5,0.0,0.0,True
DistanciaAreasVerdes,1,2,35757,5848,102982304.5,0.06500449377465056,0.06500449377465056,False
