variavel,n,k,F,p_anova,eta2,omega2,H,p_kw,eps2_kw,levene_p
5a10SalariosMinimos,402350,4,1236.6636950755653,0.0,0.00913664905007647,0.00912923842369861,19143.19290651967,0.0,0.0475714755621273,0.0
DistanciaPatrimonioHistorico,411853,4,13471.506346278096,0.0,0.08936055493647728,0.08935372406554913,57382.61707022812,0.0,0.13932197740003768,0.0
OrigemMotivoTrabalhoComercioServico,411853,4,7046.511658930507,0.0,0.04882238966887337,0.04881534833844067,26492.97345728876,0.0,0.06431962553578802,0.0
TO,411853,4,4749.601298362533,0.0,0.033440219040875165,0.03343309994034892,13986.361340523645,0.0,0.0339526412362872,1.408672779703798e-304
DestinoMotivoEducacao,411853,4,8725.132169576465,0.0,0.05975785074384036,0.059750865400353126,38457.28474234557,0.0,0.09336986308658166,0.0
OrigemMotivotrabalhoindustria,411853,4,7508.355482163573,0.0,0.05185637952735725,0.05184935367201869,32864.88478101146,0.0,0.07979110009010938,0.0
ResidencialAltoPadraoVert_pct,411853,4,2398.9232055239277,0.0,0.01717418510907973,0.01716698501972486,11921.591160063379,0.0,0.028939225687238234,0.0
NumerodePavimentos,411853,4,10739.528797150702,0.0,0.0725533395789238,0.07254642048256406,20545.92145913866,0.0,0.04987974101949661,0.0
TempoMediodeViagem,411853,4,3424.2307121949016,0.0,0.02433585463137203,0.024328690041761074,14801.206748104893,0.0,0.03593114648355318,0.0
ComercioServicos_pct,411853,4,3110.061453018063,0.0,0.02215252962525382,0.022145354186707905,7895.239788908813,0.0,0.019162945130154044,0.0
Estrangeira,402350,4,211.72646357719063,3.0551624645974543e-137,0.0015762011310103898,0.0015687527217391186,8215.589796165123,0.0,0.020411759520823178,1.4324813800259505e-27
Numero_Viagens,411853,4,3507.422261829558,0.0,0.024912364104617606,0.024905202383543622,11451.128013138516,0.0,0.027796906179542783,0.0
DistanciaAreasVerdes,411853,4,6891.221371969918,0.0,0.04779787472679008,0.047790828180837595,23778.59065936352,0.0,0.057728902241752485,0.0
EmpresaGrandePorte,402350,4,1831.9411177829415,0.0,0.013475379518856542,0.013467990703344866,14403.095002265773,0.0,0.03579032723642281,0.0
Ate2SalariosMinimos,402350,4,3687.3054509251133,0.0,0.026757872588331916,0.026750551125845592,26858.038335809902,0.0,0.06674612978831627,0.0
ResidencialPopularVert,411853,4,7.50818324028022,5.0743714809214185e-05,5.4688290834054765e-05,4.740435099958622e-05,1658.5538569247608,0.0,0.004019807883289169,5.0743714809214185e-05
DestinoMotivoResidencia,411853,4,10607.252327452208,0.0,0.07172380978812645,0.07171688637287307,43108.36224899409,0.0,0.10466302515969224,0.0
Brasileira,402350,4,1250.3774624202895,0.0,0.009237032443961528,0.009229622321155116,17380.894949950543,0.0,0.043191419698345564,3.784198725843944e-309
cr_4_pct,411544,4,4406.066230393961,0.0,0.031119349154204556,0.031112213065431212,7549.36324184105,0.0,0.018336888860963817,0.0
