variavel,cluster_a,cluster_b,n_a,n_b,media_a,media_b,t,gl_aprox,p_raw,p_adj,significativo
OrigemMotivoResidencia,1,3,35757,12724,30933.61250885163,23416.65391312457,33.63343175165865,23552.16891228827,2.9039833865470414e-242,5.807966773094083e-242,True
OrigemMotivoResidencia,1,2,35757,5848,30933.61250885163,30365.61352932341,1.5920230804052107,7392.657395381542,0.1114222735139274,0.1114222735139274,False
OrigemMotivoResidencia,0,3,357524,12724,36927.41534103587,23416.65391312457,70.39611398217897,13530.87582725518,0.0,0.0,True
OrigemMotivoResidencia,0,2,357524,5848,36927.41534103587,30365.61352932341,19.419479238111766,5963.116178208686,1.6645245036018672e-81,2.496786755402801e-81,True
OrigemMotivoResidencia,3,2,12724,5848,23416.65391312457,30365.61352932341,-18.01580521197855,9680.97652343413,2.130571068787353e-71,2.5566852825448235e-71,True
OrigemMotivoTrabalhoComercioServico,1,0,35757,357524,12576.89820408918,19995.694824129198,-140.23477649808885,51387.47835170087,0.0,0.0,True
OrigemMotivoTrabalhoComercioServico,1,3,35757,12724,12576.89820408918,9543.228974901569,37.83206927238627,28065.354504620547,1.6017771392073353e-305,2.402665708811003e-305,True
OrigemMotivoTrabalhoComercioServico,1,2,35757,5848,12576.89820408918,11566.55536892054,7.971230936244085,7961.331017762538,1.789221258758913e-15,1.789221258758913e-15,True
OrigemMotivoTrabalhoComercioServico,0,3,357524,12724,19995.694824129198,9543.228974901569,154.63310051372346,15791.796645983359,0.0,0.0,True
OrigemMotivoTrabalhoComercioServico,0,2,357524,5848,19995.694824129198,11566.55536892054,70.72514749982899,6252.877612884286,0.0,0.0,True
OrigemMotivoTrabalhoComercioServico,3,2,12724,5848,9543.228974901569,11566.55536892054,-15.150309128645432,9471.036715501135,2.9992047003319574e-51,3.599045640398349e-51,True
OrigemMotivotrabalhoindustria,1,0,35757,357524,1341.2349802942072,2891.4875663797834,-191.28711710420393,67103.39573647764,0.0,0.0,True
OrigemMotivotrabalhoindustria,1,3,35757,12724,1341.2349802942072,988.730368827809,31.993832961120336,29991.42414823918,6.911712874542363e-221,1.0367569311813544e-220,True
OrigemMotivotrabalhoindustria,1,2,35757,5848,1341.2349802942072,1114.2483045173915,13.691205524970613,8492.020010113076,3.210864692605919e-42,3.853037631127103e-42,True
OrigemMotivotrabalhoindustria,0,3,357524,12724,2891.4875663797834,988.730368827809,198.51661420143546,19678.493847337188,0.0,0.0,True
OrigemMotivotrabalhoindustria,0,2,357524,5848,2891.4875663797834,1114.2483045173915,113.46504623447004,6813.5155763666435,0.0,0.0,True
OrigemMotivotrabalhoindustria,3,2,12724,5848,988.730368827809,1114.2483045173915,-7.234090931723663,9786.33022157795,5.03825356628368e-13,5.03825356628368e-13,True
OutrosUsos,1,0,35757,357524,25.597757082529295,67.7912140164017,-8.216503406548199,141152.2317474283,2.1127033433779113e-16,4.2254066867558225e-16,True
OutrosUsos,1,3,35757,12724,25.597757082529295,11.04990569003458,2.9744280066957507,39219.871934113646,0.0029371397990850794,0.0035245677589020954,True
OutrosUsos,1,2,35757,5848,25.597757082529295,11.42390560875513,3.681154269897293,41532.67855581831,0.00023247423313797972,0.0003487113497069696,True
OutrosUsos,0,3,357524,12724,67.7912140164017,11.04990569003458,11.295888612384898,59304.15660001069,1.4741837377223753e-29,4.422551213167126e-29,True
OutrosUsos,0,2,357524,5848,67.7912140164017,11.42390560875513,14.032240218297755,181181.62144032193,1.0446660880080208e-44,6.267996528048125e-44,True
OutrosUsos,3,2,12724,5848,11.04990569003458,11.42390560875513,-0.1010905097929147,16876.184816944307,0.9194798124485462,0.9194798124485462,False
OutrosUsos_pct,1,0,35757,357524,0.13332606202981234,0.13546959085264204,-1.7068082540713656,43472.39526236362,0.0878648392693991,0.0878648392693991,False
OutrosUsos_pct,1,3,35757,12724,0.13332606202981234,0.06516189877397045,33.841189099902806,27443.852029492737,5.585549139192297e-246,1.675664741757689e-245,True
OutrosUsos_pct,1,2,35757,5848,0.13332606202981234,0.10731361149110806,8.79135672509224,8300.275016691556,1.775113717251454e-18,2.1301364607017444e-18,True
OutrosUsos_pct,0,3,357524,12724,0.13546959085264204,0.06516189877397045,42.20507482351228,14190.697364408104,0.0,0.0,True
OutrosUsos_pct,0,2,357524,5848,0.13546959085264204,0.10731361149110806,10.29978553298306,6084.9164664789205,1.1250200452686583e-24,1.6875300679029872e-24,True
OutrosUsos_pct,3,2,12724,5848,0.06516189877397045,0.10731361149110806,-13.361133464566208,10191.244456870962,2.228266207034338e-40,4.456532414068676e-40,True
ResidencialAltoPadraoHor,1,0,35757,357524,2.0736359314260144,0.8316336805361318,44.21197677516936,38561.40883035131,0.0,0.0,True
ResidencialAltoPadraoHor,1,3,35757,12724,2.0736359314260144,1.291810751336058,18.324172108139337,31695.785780667375,1.2904505217710248e-74,2.580901043542049e-74,True
ResidencialAltoPadraoHor,1,2,35757,5848,2.0736359314260144,2.5092339261285908,-6.5752157985111,8491.00194749227,5.145089069118473e-11,5.145089069118473e-11,True
ResidencialAltoPadraoHor,0,3,357524,12724,0.8316336805361318,1.291810751336058,-13.939219581140687,13435.460065922174,7.39050370061064e-44,8.868604440732768e-44,True
ResidencialAltoPadraoHor,0,2,357524,5848,0.8316336805361318,2.5092339261285908,-27.73628096478869,5941.806150705859,2.4896203217946435e-159,7.46886096538393e-159,True
ResidencialAltoPadraoHor,3,2,12724,5848,1.291810751336058,2.5092339261285908,-17.77768618959256,9395.139065738791,1.4400860373606712e-69,2.1601290560410068e-69,True
ResidencialAltoPadraoHor_pct,1,0,35757,357524,0.05313868613138686,0.018952769604278313,47.96871925566665,38222.79030360566,0.0,0.0,True
ResidencialAltoPadraoHor_pct,1,3,35757,12724,0.05313868613138686,0.03515796919207796,14.517594294502338,25517.78558976013,1.451058741309418e-47,2.176588111964127e-47,True
ResidencialAltoPadraoHor_pct,1,2,35757,5848,0.05313868613138686,0.05717510259917921,-2.178859093452529,7927.3288304108155,0.029371488184029595,0.029371488184029595,True
ResidencialAltoPadraoHor_pct,0,3,357524,12724,0.018952769604278313,0.03515796919207796,-15.743747494260244,13133.428931199072,2.4289604808437137e-55,4.8579209616874275e-55,True
ResidencialAltoPadraoHor_pct,0,2,357524,5848,0.018952769604278313,0.05717510259917921,-22.22614081176884,5913.558699579403,3.517709604154833e-105,1.0553128812464498e-104,True
ResidencialAltoPadraoHor_pct,3,2,12724,5848,0.03515796919207796,0.05717510259917921,-11.031381496491097,10142.881635252737,3.896794401622823e-28,4.676153281947387e-28,True
ResidencialAltoPadraoVert,1,0,35757,357524,3.9832760019017255,0.571055369709446,28.82521704625179,36918.23431528239,1.0488863677061573e-180,6.293318206236944e-180,True
ResidencialAltoPadraoVert,1,3,35757,12724,3.9832760019017255,3.3256051556114428,2.598037299480074,20119.113907999847,0.009382663281449337,0.009382663281449337,True
ResidencialAltoPadraoVert,1,2,35757,5848,3.9832760019017255,7.4138166894664845,-9.463909888065887,7282.251822418613,3.921930633439417e-21,4.7063167601273e-21,True
ResidencialAltoPadraoVert,0,3,357524,12724,0.571055369709446,3.3256051556114428,-12.256047438745696,12835.829664202663,2.4255090782587142e-34,4.8510181565174285e-34,True
ResidencialAltoPadraoVert,0,2,357524,5848,0.571055369709446,7.4138166894664845,-19.934527449374695,5869.146164657152,1.318520901133844e-85,3.9555627034015316e-85,True
ResidencialAltoPadraoVert,3,2,12724,5848,3.3256051556114428,7.4138166894664845,-9.977294834924189,10992.91543807099,2.40810107142549e-23,3.612151607138235e-23,True
ResidencialAltoPadraoVert_pct,1,0,35757,357524,0.02038118410381184,0.002735284903950504,31.691080516877182,36670.31410253045,1.7912606835672692e-217,1.0747564101403616e-216,True
ResidencialAltoPadraoVert_pct,1,3,35757,12724,0.02038118410381184,0.009762653253693807,12.84637739996477,33832.89912802096,1.1042174101281025e-37,1.6563261151921536e-37,True
ResidencialAltoPadraoVert_pct,1,2,35757,5848,0.02038118410381184,0.04242476060191518,-11.103782956364856,6865.39713649973,2.0964234730906556e-28,2.0964234730906556e-28,True
ResidencialAltoPadraoVert_pct,0,3,357524,12724,0.002735284903950504,0.009762653253693807,-11.385255925795425,12986.941011662042,6.862721802821519e-30,8.235266163385823e-30,True
ResidencialAltoPadraoVert_pct,0,2,357524,5848,0.002735284903950504,0.04242476060191518,-20.806110390947556,5859.527395170296,8.067039266817188e-93,2.4201117800451563e-92,True
ResidencialAltoPadraoVert_pct,3,2,12724,5848,0.009762653253693807,0.04242476060191518,-16.306441492271126,7087.975807535478,1.0307800076206688e-58,2.0615600152413377e-58,True
ResidencialMedioPadraoHor,1,0,35757,357524,21.349274267975503,26.66962497622537,-35.870819176548125,50522.50399119818,2.7814636888585527e-278,1.6688782133151316e-277,True
ResidencialMedioPadraoHor,1,3,35757,12724,21.349274267975503,18.92973907576234,9.35166804792619,23077.13765607869,9.388590407574403e-21,1.4082885611361605e-20,True
ResidencialMedioPadraoHor,1,2,35757,5848,21.349274267975503,19.134917920656633,7.097005436074758,8827.21446039086,1.3733553620611204e-12,1.6480264344733445e-12,True
ResidencialMedioPadraoHor,0,3,357524,12724,26.66962497622537,18.92973907576234,33.94409367982341,14638.58334425667,3.535041551890741e-243,1.0605124655672222e-242,True
ResidencialMedioPadraoHor,0,2,357524,5848,26.66962497622537,19.134917920656633,26.247684450706785,6381.155359884271,2.7591218122758943e-144,5.518243624551789e-144,True
ResidencialMedioPadraoHor,3,2,12724,5848,18.92973907576234,19.134917920656633,-0.5749636652927301,12986.607045635767,0.5653258311564477,0.5653258311564477,False
ResidencialMedioPadraoHor_pct,1,0,35757,357524,0.3538479178902033,0.4425636600619818,-49.33358093718852,42106.92304632953,0.0,0.0,True
ResidencialMedioPadraoHor_pct,1,3,35757,12724,0.3538479178902033,0.35377161270040863,0.021773443496999775,21395.26282902831,0.982628881227231,0.9826288812272311,False
ResidencialMedioPadraoHor_pct,1,2,35757,5848,0.3538479178902033,0.2781908344733242,17.522191358432494,8233.606715775275,1.6134807829754278e-67,2.420221174463142e-67,True
ResidencialMedioPadraoHor_pct,0,3,357524,12724,0.4425636600619818,0.35377161270040863,28.720993975207147,13429.514871650064,4.151902081712768e-176,8.303804163425536e-176,True
ResidencialMedioPadraoHor_pct,0,2,357524,5848,0.4425636600619818,0.2781908344733242,41.19720823768866,6038.836015414201,0.0,0.0,True
ResidencialMedioPadraoHor_pct,3,2,12724,5848,0.35377161270040863,0.2781908344733242,15.12612182052102,12782.175180371058,3.022813537972071e-51,3.6273762455664854e-51,True
ResidencialMedioPadraoVert,1,0,35757,357524,63.59661045389714,20.194960338326936,46.59392501163944,38297.1594208103,0.0,0.0,True
ResidencialMedioPadraoVert,1,3,35757,12724,63.59661045389714,68.96769883684377,-2.7943966736037487,20654.98355173592,0.005204457471982559,0.005204457471982559,True
ResidencialMedioPadraoVert,1,2,35757,5848,63.59661045389714,91.26915184678522,-10.566764039439843,7564.912907715006,6.436496790402734e-26,9.654745185604102e-26,True
ResidencialMedioPadraoVert,0,3,357524,12724,20.194960338326936,68.96769883684377,-28.712536753881015,12985.621167404297,7.787391139585216e-176,2.336217341875565e-175,True
ResidencialMedioPadraoVert,0,2,357524,5848,20.194960338326936,91.26915184678522,-28.897542009829188,5904.115170088714,7.351395587414806e-172,1.4702791174829612e-171,True
ResidencialMedioPadraoVert,3,2,12724,5848,68.96769883684377,91.26915184678522,-7.485552167879844,11519.603622746728,7.643788085836388e-14,9.172545703003666e-14,True
ResidencialMedioPadraoVert_pct,1,0,35757,357524,0.1955561148865956,0.05823334936955282,80.39295759506629,38284.646001973124,0.0,0.0,True
ResidencialMedioPadraoVert_pct,1,3,35757,12724,0.1955561148865956,0.17181389500157185,7.483768495039153,23297.204598732456,7.477848961947918e-14,7.477848961947918e-14,True
ResidencialMedioPadraoVert_pct,1,2,35757,5848,0.1955561148865956,0.29377564979480164,-19.571845831233514,7394.999759111806,3.334616790370111e-83,4.0015401484441334e-83,True
ResidencialMedioPadraoVert_pct,0,3,357524,12724,0.05823334936955282,0.17181389500157185,-41.91387601273535,13070.050768641966,0.0,0.0,True
ResidencialMedioPadraoVert_pct,0,2,357524,5848,0.05823334936955282,0.29377564979480164,-49.697530344494396,5898.443248923458,0.0,0.0,True
ResidencialMedioPadraoVert_pct,3,2,12724,5848,0.17181389500157185,0.29377564979480164,-22.41323341186365,9777.361679910848,1.5373522938299897e-108,2.3060284407449843e-108,True
ResidencialPopularHor,1,0,35757,357524,2.8190843750873955,10.982977366554413,-144.90537391005202,103123.27388574448,0.0,0.0,True
ResidencialPopularHor,1,3,35757,12724,2.8190843750873955,3.625982395473122,-9.124314110094598,20922.02056280289,7.856327822583689e-20,7.856327822583689e-20,True
ResidencialPopularHor,1,2,35757,5848,2.8190843750873955,1.244186046511628,25.582701053301033,18981.837222771945,6.004376259848061e-142,7.205251511817673e-142,True
ResidencialPopularHor,0,3,357524,12724,10.982977366554413,3.625982395473122,85.77803200038734,19081.60223849916,0.0,0.0,True
ResidencialPopularHor,0,2,357524,5848,10.982977366554413,1.244186046511628,168.88337127724995,16523.976663261637,0.0,0.0,True
ResidencialPopularHor,3,2,12724,5848,3.625982395473122,1.244186046511628,26.676439394807854,18183.9022041398,7.973371240598562e-154,1.1960056860897844e-153,True
ResidencialPopularHor_pct,1,0,35757,357524,0.04632547473222027,0.17187064364909768,-204.49878965010436,75469.21062590841,0.0,0.0,True
ResidencialPopularHor_pct,1,3,35757,12724,0.04632547473222027,0.09309258094938698,-25.124318494845294,14806.021505770179,1.911933306606773e-136,1.911933306606773e-136,True
ResidencialPopularHor_pct,1,2,35757,5848,0.04632547473222027,0.019935020519835842,28.95738093357757,11856.793149215055,3.3139975257848466e-178,3.9767970309418163e-178,True
ResidencialPopularHor_pct,0,3,357524,12724,0.17187064364909768,0.09309258094938698,43.17939400854142,13694.1283066192,0.0,0.0,True
ResidencialPopularHor_pct,0,2,357524,5848,0.17187064364909768,0.019935020519835842,182.35184164322766,8548.16633563136,0.0,0.0,True
ResidencialPopularHor_pct,3,2,12724,5848,0.09309258094938698,0.019935020519835842,37.617029166870196,16531.13395979905,3.29235871376682e-297,4.93853807065023e-297,True
ResidencialPopularVert,1,0,35757,357524,5.554241127611377,5.723006007988275,-0.6243189501329973,45785.38734488113,0.5324212519171203,0.5324212519171203,False
ResidencialPopularVert,1,3,35757,12724,5.554241127611377,6.380776485381955,-1.8557819739335855,25810.73494029831,0.06349603130790972,0.09524404696186459,False
ResidencialPopularVert,1,2,35757,5848,5.554241127611377,2.52718878248974,8.711577192608168,22188.64353820799,3.2026309369288366e-18,6.405261873857673e-18,True
ResidencialPopularVert,0,3,357524,12724,5.723006007988275,6.380776485381955,-1.7430707423498952,14399.081267324733,0.08134260376111449,0.0976111245133374,False
ResidencialPopularVert,0,2,357524,5848,5.723006007988275,2.52718878248974,12.556805846303185,7758.677885614547,8.121246404463591e-36,4.872747842678154e-35,True
ResidencialPopularVert,3,2,12724,5848,6.380776485381955,2.52718878248974,8.839120359362264,18538.739100496994,1.0494785846258041e-18,3.1484357538774124e-18,True
