variavel,cluster,n,missings,media,mediana,desvio_padrao,p25,p75,minimo,maximo,coef_var,shapiro_p
DestinoMotivotrabalhoindustria,__GERAL__,411853,0,2113.7179413317735,1488.062718,2270.826028772537,571.9603293200776,2922.346477,0.0,19957.81394,1.0743278392867195,0.0
DistanciaAceleradoraIncubadora,__GERAL__,411852,1,1678.3703178544336,1294.756860607765,1505.6784534928095,665.034817730454,2261.29370404681,0.0,21269.3921119013,0.8971074127535889,0.0
DistanciaAreasVerdes,__GERAL__,411853,0,1486.8187674737005,1313.40645282459,984.4018381257258,786.023604635121,1969.59155966047,0.0,9418.06100176904,0.662085964786652,1.3620621073237222e-42
DistanciaPatrimonioHistorico,__GERAL__,411853,0,1730.076505465686,1373.09864685631,1416.2041188669225,580.411247642773,2614.70140311185,0.0,8124.5227424323,0.8185788977497973,0.0
DistanciaStartup,__GERAL__,411852,1,5306.61233821052,3825.59440849362,4865.831515131169,1538.73149916679,7858.61698915513,0.0,27906.75936871,0.9169374367323788,0.0
DistanciaTransportePublico,__GERAL__,410461,1392,2285.641427866601,1846.29750615277,1843.2846050375842,929.225432875045,3086.20185195316,2.59139542222529,26703.7282733093,0.8064627209518559,0.0
EmpresaGrandePorte,__GERAL__,402350,9503,763.0595774822915,119.0,1805.7992786449606,14.0,702.0,0.0,15883.0,2.36652462262931,0.0
EmpresaMedioPorte,__GERAL__,402350,9503,573.4847023735554,142.0,1808.6989458291905,58.0,479.0,0.0,23636.0,3.153874790980987,0.0
EmpresaPequenoPorte,__GERAL__,402350,9503,105.83545669193488,34.0,244.95577488103208,13.0,95.0,0.0,2879.0,2.314496318507395,0.0
EnsinoMedioCompleto,__GERAL__,402350,9503,124.5723052069094,43.0,233.98465948770348,10.0,139.0,0.0,2397.0,1.8783040026357762,0.0
EnsinoSuperiorCompleto,__GERAL__,402350,9503,1193.253233503169,187.0,3292.928347339253,39.0,960.5,0.0,38075.0,2.759622396054046,0.0
Estrangeira,__GERAL__,402350,9503,19.16808127252392,4.0,47.10091127305883,1.0,19.5,0.0,538.0,2.4572574898550035,0.0
Feminino,__GERAL__,402350,9503,471.3465067727103,107.0,1159.4310519996334,37.0,463.0,0.0,12926.0,2.4598273994607682,0.0
FracaoIdeal,__GERAL__,411853,0,0.9860833449070422,1.0,0.1141214444158181,1.0,1.0,0.0001,1.7675,0.11573204740272365,0.0
Maisde10SalariosMinimos,__GERAL__,402350,9503,516.439720392693,104.0,1185.9409916132745,22.0,508.0,0.0,11857.0,2.2963783473345214,0.0
Maisde2Baldeacoes,__GERAL__,411853,0,3000.6690693884416,2033.5241145,3003.890098512016,1015.68925,3966.69015,0.0,19324.069189,1.0010734369732517,0.0
Maisde65anos,__GERAL__,402350,9503,19.01928544799304,2.5,53.32199963590254,0.0,14.0,0.0,532.0,2.8035753383957545,0.0
Masculino,__GERAL__,402350,9503,971.1113731825525,204.0,2507.2608870646613,64.0,874.0,1.0,29472.0,2.5818468986186396,0.0
MestradoDoutoradoCompleto,__GERAL__,402350,9503,67.30305703989065,0.0,207.61074684233748,0.0,19.0,0.0,1914.0,3.084714959073645,0.0
NaoMapeado,__GERAL__,411853,0,2368.5968414188646,30.56004,5200.601175974153,0.0,1069.84119,0.0,30587.547471454032,2.1956464202911072,0.0
Numero_Viagens,__GERAL__,411853,0,83325.95815723958,76244.56581,48132.591949994014,50509.300136,105693.62869,0.0,295851.54049,0.5776422259575557,4.15967041344036e-40
NumerodePavimentos,__GERAL__,411853,0,1.7242025223767963,1.0,2.505250410214428,1.0,2.0,0.0,49.0,1.4529908045610354,0.0
OrigemMotivoEducacao,__GERAL__,411853,0,17005.975579908383,13466.939685,14308.859853942804,6674.3157200000005,22651.347162,0.0,98799.5366,0.8414018817507846,0.0
OrigemMotivoOutros,__GERAL__,411853,0,13147.473948041126,11823.67111,7611.975618563506,7756.45482,16815.50318,0.0,43675.88401,0.5789686785953002,1.1532686361393244e-42
OrigemMotivoResidencia,__GERAL__,411853,0,35896.45343648728,32821.95075914513,20558.40960669082,20750.393711,47362.90177,228.18731,139980.573,0.5727142276900825,7.563329094989767e-39
OrigemMotivoTrabalhoComercioServico,__GERAL__,411853,0,18908.985018100342,16202.372465,12786.12642633871,9624.95094,24881.64005,0.0,77320.56975,0.676193165000627,0.0
OrigemMotivotrabalhoindustria,__GERAL__,411853,0,2672.87471299354,2089.240989,2474.6556289073505,863.257139,3695.90026,0.0,17154.094326,0.9258404880997246,0.0
OutrosUsos,__GERAL__,411853,0,61.57461764270261,1.0,2083.122735432649,0.0,5.0,0.0,839091.0,33.83086757469335,0.0
OutrosUsos_pct,__GERAL__,411853,0,0.13271157427528754,0.03,0.22811535424010418,0.0,0.14,0.0,1.0,1.7188806288057268,0.0
ResidencialAltoPadraoHor,__GERAL__,411853,0,0.9775016814251687,0.0,3.5115919548824968,0.0,0.0,0.0,247.0,3.592415257805694,0.0
