epoch,val_loss,val_accuracy,accuracy,balanced_accuracy,recall_macro,f1_macro,kappa,mcc,auc_macro_ovr,auc_micro_ovr,pseudo_r2_mcfadden,pseudo_r2_tjur_macro
11,0.12332382798194885,0.9623827934265137,0.9623828212027215,0.9499641073794811,0.9499641073794811,0.865289664286019,0.8360817489575342,0.8438530293357736,0.9976056930272071,0.9986905690978425,0.7929690182209015,0.9028585404157639
12,0.10232055187225342,0.9700433611869812,0.9700433582972015,0.9665143531605147,0.9665143531605147,0.8791639099674776,0.8658238119270618,0.8704984940318012,0.9981502690462366,0.9991392902884206,0.8395007252693176,0.9166482090950012
13,0.12294077128171921,0.9621428847312927,0.962142893866429,0.9564403000677776,0.9564403000677776,0.8633281663344274,0.8349189333922695,0.8424901630770915,0.9975049132027353,0.9987012821343513,0.7937792390584946,0.9087339639663696
14,0.10937421023845673,0.9676612019538879,0.9676612226011551,0.9584918469513863,0.9584918469513863,0.8737290722382733,0.8564752208156081,0.862120249662185,0.9979991435047657,0.9990004258745415,0.8244155049324036,0.912389412522316
15,0.1318020224571228,0.9614402651786804,0.9614402495244297,0.9543597868484217,0.9543597868484217,0.8713384526587257,0.8332054627831679,0.8419915467460786,0.9974478349506006,0.99854826746829,0.7740025222301483,0.911255732178688
16,0.1204286441206932,0.9643536806106567,0.964353652893695,0.9463460385646956,0.9463460385646956,0.8621571023710052,0.8430881548432837,0.8496421548728667,0.9975435839001774,0.9987349236153644,0.8011229485273361,0.9027401208877563
17,0.10618820041418076,0.9695977568626404,0.9695977789583726,0.950852086995267,0.950852086995267,0.8796126198705003,0.8643374949026142,0.8695922054035775,0.9981383726717699,0.9990680737583532,0.8274833410978317,0.9092163592576981
18,0.11037365347146988,0.9675926566123962,0.967592671933643,0.9455236764302969,0.9455236764302969,0.874139777482759,0.8563607760575422,0.8623404509966638,0.9979727694682968,0.9989498230932756,0.8125580698251724,0.9075407236814499
19,0.10324399173259735,0.9699233770370483,0.9699233946290552,0.9372187832034963,0.9372187832034963,0.8742505504382867,0.8653912397654706,0.8703845725697061,0.9979620824472882,0.9990653194432603,0.8245159834623337,0.9026834517717361
20,0.10523084551095963,0.9685866832733154,0.9685866566125688,0.9396562832515882,0.9396562832515882,0.8708287543824983,0.8599013980356642,0.8651972278826136,0.9978542157652581,0.99901705265092,0.8164630234241486,0.9062327593564987
21,0.0927734300494194,0.9718085527420044,0.9718085379856386,0.9530608731742043,0.9530608731742043,0.8878291109745988,0.8734757423611907,0.8781818738499256,0.9984466105027139,0.9992425011340987,0.8441083580255508,0.9201754480600357
22,0.09559033066034317,0.9717400074005127,0.9717399873181265,0.9427573925365642,0.9427573925365642,0.8799405669667093,0.8727795376161109,0.8771835478836438,0.9981426103970651,0.9991801067044478,0.8368559181690216,0.9105758666992188
23,0.09493977576494217,0.9713115692138672,0.9713115456461757,0.9522593184918573,0.9522593184918573,0.8844677499408773,0.8713591440080004,0.8761325394668544,0.9983594663993869,0.9991951671807208,0.8375222533941269,0.9192759245634079
24,0.09458445757627487,0.9714657664299011,0.971465784648078,0.9437928385414622,0.9437928385414622,0.8814002008086695,0.8718170076738292,0.8764362694974428,0.9982512169008404,0.9991926379863912,0.8374278694391251,0.9135183691978455
25,0.0939166322350502,0.9728196859359741,0.9728196603314425,0.9429991820336018,0.9429991820336018,0.8822024229000356,0.8772430924721046,0.8813456073612576,0.9981117180806479,0.9991911407546478,0.838235393166542,0.910923644900322
26,0.09244232624769211,0.9715343117713928,0.9715343353155901,0.952784729428604,0.952784729428604,0.8864315071717686,0.8723315087239139,0.8770981934780037,0.998415531715416,0.9992232966050525,0.8414532393217087,0.9197610765695572
27,0.09148301929235458,0.9735223054885864,0.9735223046734418,0.9437953085464943,0.9437953085464943,0.8850208089640852,0.880191990139394,0.8841443725084557,0.9982555640861899,0.9992413742086338,0.8434716463088989,0.9120932519435883
28,0.09272226691246033,0.9718770980834961,0.9718770886531508,0.9491668134866182,0.9491668134866182,0.8833264686445791,0.8735226049926759,0.8780060786685743,0.9983006603538988,0.9992176355937109,0.8404707759618759,0.9172094166278839
