Unnamed: 0,SQ,Ano,densidade_hec,ConcentracaoBOs,EstagioClusterizacao,Startups,UsoeOcupacao,EconomiaUrbana,Inovacao,MobilidadeUrbana,Usolocal,DinamicaOcupacao,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
10,001013,2025,55.1053966969448,4998.0,0,-4460.909002010066,-37.77897331470411,1180.1156839100595,-1024.3114175276914,-96947.45612493884,-49.67127058310034,-61.697958279949056,001013,2025,0,1,0.05168065,0.9482997,1.9675146e-05,8.802365e-12
11,001014,2025,55.1053966969448,10614.0,1,-4432.827140900895,-37.67324248101082,1180.1156839100595,-974.7973786596708,-96947.45612493884,-49.48995649585482,-61.71811624805486,001014,2025,1,1,0.05224416,0.9477441,1.17402615e-05,8.029881e-12
12,001015,2025,55.1053966969448,2436.0,1,-4490.425226592924,-37.78086807449486,1180.1156839100595,-966.5662961901976,-96947.45612493884,-49.603643761076526,-61.706433230093374,001015,2025,1,1,0.01433129,0.98563945,2.9260022e-05,4.005211e-12
13,001016,2025,55.1053966969448,154.0,1,-4512.708068367182,-37.84065107206173,1180.1156839100595,-912.367825375419,-96947.45612493884,-49.65248770950591,-59.73270457457485,001016,2025,1,1,0.0071617668,0.9928063,3.1847107e-05,3.1757008e-12
14,001017,2025,55.1053966969448,420.0,1,-4467.242427600947,-37.52141741944385,1180.1156839100595,-895.0664738299055,-96947.45612493884,-49.36413349486354,-60.73567739857884,001017,2025,1,1,0.011954547,0.98803186,1.358661e-05,2.6559065e-12
15,001018,2025,22.5980845340693,18080.0,0,-5118.340964076914,-35.00169318986348,1180.1156839100595,-1300.496029109018,-96947.89025410512,-47.38329767551673,-60.73863877998674,001018,2025,0,2,0.0006685086,0.011394365,0.9816564,0.006280779
16,001019,2025,51.527330200796,1486448.0,3,-5306.759718297295,1916.1320769465865,7705.541186040466,-1484.864407489223,-80637.33272959851,1902.545598503926,-59.937940339190426,001019,2025,3,3,0.00037524634,0.00021122418,1.730533e-05,0.9993962
17,001020,2025,76.8126229935179,268416.0,3,-5160.642486432527,29.19071618442704,7705.541186040466,-1418.530974402985,-80638.14763873663,14.271301377053147,-56.17560877362286,001020,2025,3,3,0.0010921923,0.19936785,0.04676557,0.7527744
18,001021,2025,77.9340262922286,708480.0,1,-5063.927687599643,-35.70814757786694,7705.541186040466,-1361.4911099192773,-80637.74647855114,-49.43045956265832,-59.683850565787736,001021,2025,1,2,0.00036524952,0.22697747,0.76636547,0.0062918295
19,001022,2025,38.0055285141636,38181.0,2,-4984.08585748967,-36.7873242821754,-1739.834844519238,-1281.7001269624943,-114689.266902267,-49.38424349671243,-59.723041736402166,001022,2025,2,2,5.2065123e-05,0.008906447,0.9910234,1.8011147e-05
