variavel,cluster,n,missings,media,mediana,desvio_padrao,p25,p75,minimo,maximo,coef_var,shapiro_p
DeslocamentoCaminhada,1,35757,0,14624.186174029499,10250.554386,13315.736652967464,4940.1023895,20875.57969,128.58935697916127,82555.36897747201,0.9105283873241673,0.0
DeslocamentoTansporteColetivo,1,35757,0,23187.514792929753,20622.059185,17191.774082218915,9758.409717927632,35336.45702,123.06280457332302,72290.23048000001,0.741423746173133,4.90454462513686e-44
DeslocamentoVeiculoIndividual,1,35757,0,21820.549076313313,19047.24841,13761.431269724166,11535.66868,31087.79952,369.2587716956286,58918.3919795,0.6306638399242896,2.1544683629301198e-40
DestinoMotivoEducacao,1,35757,0,9037.590447411536,6493.3019612714925,8150.867639940877,2776.4870981379127,12567.104534,0.0,43042.32096900001,0.90188504196662,0.0
DestinoMotivoOutros,1,35757,0,10931.050481526469,9806.414765,6857.203417355434,5624.71218,14772.46333,342.482915,27674.6596675,0.6273142209839889,8.127531093083939e-44
DestinoMotivoResidencia,1,35757,0,22973.426011481533,17073.755924999998,18668.62099954708,9758.16747,30914.022293,0.0,114528.69217,0.8126180653341378,0.0
DestinoMotivoTrabalhoComercioServico,1,35757,0,15698.111486445838,13088.118672,10920.308941055388,6655.065380501736,23531.00155206064,214.5315005272488,35995.05335999999,0.695644756408073,0.0
DestinoMotivotrabalhoindustria,1,35757,0,1743.4999197079133,1071.977284,1805.1481676354626,353.55847490839403,2451.93116,0.0,6447.925698519884,1.035358904942122,0.0
DistanciaAceleradoraIncubadora,1,35757,0,881.3244224867244,789.457974478117,672.8437107568257,333.756834975386,1125.72748151283,7.6003484839514,4655.682033521343,0.7634461199411059,0.0
DistanciaAreasVerdes,1,35757,0,1416.6480928618962,1246.90387999745,823.3092983775097,808.328121252739,1861.25490051383,0.0058957256363482,3744.9434921984935,0.5811671243733295,1.1475513384048792e-40
DistanciaPatrimonioHistorico,1,35757,0,892.1073811170318,590.802508807189,968.4929061583418,280.185272555641,1227.58262487517,0.0,5666.136636315466,1.0856236890963347,0.0
DistanciaStartup,1,35757,0,559.0078684573293,563.187895441402,196.20576817405444,397.304041015062,711.106732922543,200.190141327592,999.959463009407,0.35098927804990526,1.7856461702030418e-27
DistanciaTransportePublico,1,35438,319,1225.8459827993047,880.3147884391385,1042.325206928206,493.061794602144,1712.46018668315,7.88839148864909,6321.666480570331,0.85029051084214,0.0
EmpresaGrandePorte,1,35757,0,706.9090667561596,529.5,668.950348135452,36.0,1373.0,0.0,1734.0,0.9463032511453117,0.0
EmpresaMedioPorte,1,35757,0,496.20993092261654,395.0,401.5960203819541,123.0,933.0,4.0,1110.5,0.8093268501000287,0.0
EmpresaPequenoPorte,1,35757,0,103.56862991861733,87.0,79.1775634962284,33.0,184.0,0.0,218.0,0.7644936846074428,0.0
EnsinoMedioCompleto,1,35757,0,138.73807925720837,101.0,120.00493901478654,33.0,252.0,0.0,332.5,0.8649747759035051,0.0
EnsinoSuperiorCompleto,1,35757,0,1029.8213147076096,900.0,872.4354439082459,158.0,1971.0,0.0,2342.75,0.8471716708989955,0.0
Estrangeira,1,35757,0,16.535118997678776,8.0,17.329845629003092,2.0,31.0,0.0,47.25,1.0480629520377738,0.0
Feminino,1,35757,0,448.41884106608495,370.0,379.4943153287714,87.0,717.0,1.0,1102.0,0.846294313652276,0.0
FracaoIdeal,1,35757,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,
Maisde10SalariosMinimos,1,35757,0,439.20356853203566,257.0,454.6577949737474,25.0,804.0,0.0,1237.0,1.0351869327778116,0.0
Maisde2Baldeacoes,1,35757,0,2302.402367579424,1575.66914,2270.9736803734504,309.11967688283335,3532.56699,0.0,8393.1915,0.9863496113240121,0.0
Maisde65anos,1,35757,0,15.722166289118215,10.0,14.248157334988448,2.0,35.0,0.0,35.0,0.9062464467666919,0.0
Masculino,1,35757,0,908.9000195765864,725.0,769.7910802438745,148.0,1566.0,3.0,2089.0,0.8469480291159899,0.0
MestradoDoutoradoCompleto,1,35757,0,23.67700030763207,19.0,21.591835429818666,0.0,47.5,0.0,47.5,0.9119328947619573,0.0
NaoMapeado,1,35757,0,982.7060558575741,178.677009,1182.641635892345,0.0,2674.602975,0.0,2674.602975,1.2034541039439244,0.0
Numero_Viagens,1,35757,0,63811.23381395749,59197.66630488792,37376.28050035785,33339.078157595104,90098.079238,2760.7724378094254,188470.121521,0.585731982699612,5.0397199286149975e-37
NumerodePavimentos,1,35757,0,1.816205229366099,2.0,0.8894498472566307,1.0,2.0,0.0,3.5,0.48972981295019774,0.0
OrigemMotivoEducacao,1,35757,0,8047.024508502253,5796.917187,7116.6514047003875,3032.37531073221,11025.4611505,0.0,46616.894325,0.8843829662978085,0.0
OrigemMotivoOutros,1,35757,0,10040.703655051313,9144.929785,6057.400442644072,5402.948017893789,13173.926272,212.7091,30404.07572,0.603284456024822,7.436831080018237e-41
OrigemMotivoResidencia,1,35757,0,30524.70227469783,26295.42149037325,21266.229903737178,13869.343077298066,43535.1242745,606.2861702836681,87281.66385849999,0.6966891834802571,2.8306228979361305e-43
OrigemMotivoTrabalhoComercioServico,1,35757,0,12548.427600296385,10675.07569,9004.843225122686,5963.148992,17354.731067,183.46766,47766.673715,0.7176072980578059,0.0
OrigemMotivotrabalhoindustria,1,35757,0,1341.2349802942072,864.399309,1304.6483926777832,415.9232828151,1908.168536,0.0,7838.311024,0.97272171681028,0.0
OutrosUsos,1,35757,0,3.7480772995497387,2.0,4.2828806132448705,0.0,6.0,0.0,12.5,1.1426873756737563,0.0
OutrosUsos_pct,1,35757,0,0.09443409682020303,0.03,0.1248458131671422,0.0,0.14,0.0,0.35,1.3220416922591138,0.0
ResidencialAltoPadraoHor,1,35757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ResidencialAltoPadraoHor_pct,1,35757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ResidencialAltoPadraoVert,1,35757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ResidencialAltoPadraoVert_pct,1,35757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ResidencialMedioPadraoHor,1,35757,0,19.998224123947757,15.0,20.11697121751401,2.0,31.0,0.0,73.5,1.0059378819254283,0.0
ResidencialMedioPadraoHor_pct,1,35757,0,0.3538479178902033,0.27,0.3263682834343206,0.02,0.66,0.0,1.0,0.9223405506531497,0.0
ResidencialMedioPadraoVert,1,35757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ResidencialMedioPadraoVert_pct,1,35757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ResidencialPopularHor,1,35757,0,2.4839891489778223,0.0,5.168263340928591,0.0,2.0,0.0,27.5,2.080630401729156,0.0
ResidencialPopularHor_pct,1,35757,0,0.04601840199121851,0.0,0.09356747845950565,0.0,0.05,0.0,0.6,2.033262225780042,0.0
ResidencialPopularVert,1,35757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ResidencialPopularVert_pct,1,35757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SemBaldeacao,1,35757,0,36164.94492589643,31041.847706,23360.736873545575,18220.1641936096,49035.80984,890.6817963368711,103383.96016443284,0.645949742807925,6.046182484022288e-41
TO,1,35757,0,0.5108618018750419,0.5158089939731108,0.1668374794127293,0.4117401330232005,0.6180100900459264,0.0,0.9170784015933237,0.32658045444066724,1.616675703578752e-18
TempoMediodeViagem,1,35757,0,8827.815196687234,8532.0,8293.478635490004,27.06278107537232,14749.0,14.714739782714988,24281.5,0.9394712565575968,0.0
Terreno,1,35757,0,1.2150627849092486,0.0,2.145364504546789,0.0,1.0,0.0,10.0,1.7656408633295633,0.0
Terreno_pct,1,35757,0,0.023053947478815336,0.0,0.04380686943111426,0.0,0.03,0.0,0.175,1.9001895216152955,0.0
Unnamed: 0,1,35757,0,126799.16237380094,105568.0,94088.16494460915,51902.0,179347.0,0.0,411852.0,0.7420251300023533,3.3918429328982197e-41
UsoTotal,1,35757,0,73.11534804373969,48.0,59.846278029515624,26.0,127.0,0.0,171.5,0.8185186780990753,0.0
ValorConstrucaoM2,1,35757,0,1435.1841151865158,1370.0,858.5930456358474,635.0,2040.0,0.0,3021.825,0.5982459229798994,7.065646734997093e-39
ValorTerrenoM2,1,35757,0,1164.0584738898444,1272.0,599.59727796275,612.79,1769.395,6.61,1769.395,0.5150920605896386,0.0
concentracaoStartups,1,35757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
cont_aceleradora,1,35757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
cr_1_pct,1,35757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
cr_2_pct,1,35757,0,0.0616279329921414,0.04,0.06199586656550345,0.0,0.15,0.0,0.15,1.005970240368259,0.0
cr_3_pct,1,35757,0,0.17559219173868054,0.09,0.20259552978644674,0.0,0.32,0.0,0.625,1.153784389729317,0.0
cr_4_pct,1,35757,0,0.639911206197388,0.68,0.2890864809807683,0.42,0.91,0.125,1.0,0.4517603039000324,0.0
cr_5_pct,1,35757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
densidade_hec,1,35693,64,102.96921043562045,85.6038737789591,80.85277042779728,41.1584535331238,141.576704720696,0.0,342.38485311570173,0.7852130756926503,0.0
18a29anos,2,5848,0,405.8583276333789,406.0,286.6692315387324,146.0,655.0,1.0,814.5,0.7063283220288811,0.0
