cluster,var_x,var_y,rho,p
0,1Baldeacao,ResidencialAltoPadraoHor,,
0,1Baldeacao,ResidencialAltoPadraoHor_pct,,
0,1Baldeacao,ResidencialAltoPadraoVert,,
0,1Baldeacao,ResidencialAltoPadraoVert_pct,,
0,1Baldeacao,ResidencialMedioPadraoHor,-0.017128284793380556,1.2817419228690712e-24
0,1Baldeacao,ResidencialMedioPadraoHor_pct,-0.046212500501434606,3.0613953653646617e-168
0,1Baldeacao,ResidencialMedioPadraoVert,,
0,1Baldeacao,ResidencialMedioPadraoVert_pct,,
0,1Baldeacao,ResidencialPopularHor,0.16240556743827173,0.0
0,1Baldeacao,ResidencialPopularHor_pct,0.18269764281145728,0.0
0,1Baldeacao,ResidencialPopularVert,,
0,1Baldeacao,ResidencialPopularVert_pct,,
0,1Baldeacao,SemBaldeacao,0.6522339830977096,0.0
0,1Baldeacao,TO,-0.12973947807209177,0.0
0,1Baldeacao,TempoMediodeViagem,0.34664908292685903,0.0
0,1Baldeacao,Terreno,0.08503765836940098,0.0
0,1Baldeacao,Terreno_pct,0.08693144904339312,0.0
0,1Baldeacao,Unnamed: 0,0.058301278021612425,1.0608439666880387e-266
0,1Baldeacao,UsoTotal,0.0034872662048867,0.03705559931666358
0,1Baldeacao,ValorConstrucaoM2,-0.11294013033339315,0.0
0,1Baldeacao,ValorTerrenoM2,-0.20752244218915095,0.0
0,1Baldeacao,concentracaoStartups,,
0,1Baldeacao,cont_aceleradora,,
0,1Baldeacao,cr_1_pct,,
0,1Baldeacao,cr_2_pct,-0.08522977499403257,0.0
0,1Baldeacao,cr_3_pct,0.06598218581747171,0.0
0,1Baldeacao,cr_4_pct,0.04949711295511885,9.876622724504082e-193
0,1Baldeacao,cr_5_pct,,
0,1Baldeacao,densidade_hec,0.20290671984551337,0.0
0,2a5SalariosMinimos,30a39anos,0.8863142881829469,0.0
0,2a5SalariosMinimos,40a49anos,0.8716650413948099,0.0
0,2a5SalariosMinimos,50a64anos,0.8814733629284973,0.0
0,2a5SalariosMinimos,5a10SalariosMinimos,0.8913355546072715,0.0
0,2a5SalariosMinimos,AreaConstruida,0.35325305465942575,0.0
0,2a5SalariosMinimos,AreaOcupada,-0.050151270639118624,8.224329780690939e-198
0,2a5SalariosMinimos,AreadaQuadra,-0.14733970580056946,0.0
0,2a5SalariosMinimos,Ate2SalariosMinimos,0.8753106163564848,0.0
0,2a5SalariosMinimos,Brasileira,0.9034750012226431,0.0
0,2a5SalariosMinimos,CA,0.32176581068195387,0.0
0,2a5SalariosMinimos,Caminhada,-0.1433583537033122,0.0
0,2a5SalariosMinimos,ComercioServicos,0.05441527909661782,1.4770923235142236e-232
0,2a5SalariosMinimos,ComercioServicos_pct,0.07340287084290457,0.0
0,2a5SalariosMinimos,ConcentracaoAreaVerde,,
0,2a5SalariosMinimos,ConcentracaoBOs,0.0627235819723372,1.9505160617304675e-308
0,2a5SalariosMinimos,ConcentracaoIES,,
0,2a5SalariosMinimos,ConcentracaoPatrimonioHistorico,,
0,2a5SalariosMinimos,DeslocamentoBicicleta,0.020832379254489726,1.270159772755416e-35
0,2a5SalariosMinimos,DeslocamentoCaminhada,-0.22091675435414407,0.0
0,2a5SalariosMinimos,DeslocamentoTansporteColetivo,-0.05317579319063696,3.6530485420173106e-222
0,2a5SalariosMinimos,DeslocamentoVeiculoIndividual,-0.03155486961043623,1.9259931471732847e-79
0,2a5SalariosMinimos,DestinoMotivoEducacao,-0.15116714591897323,0.0
0,2a5SalariosMinimos,DestinoMotivoOutros,0.16248226097735588,0.0
0,2a5SalariosMinimos,DestinoMotivoResidencia,-0.19564120534688542,0.0
0,2a5SalariosMinimos,DestinoMotivoTrabalhoComercioServico,0.08455744077164161,0.0
0,2a5SalariosMinimos,DestinoMotivotrabalhoindustria,0.05202525177204774,9.885482945493993e-213
0,2a5SalariosMinimos,DistanciaAceleradoraIncubadora,-0.055835419525410025,9.256523805228574e-245
0,2a5SalariosMinimos,DistanciaAreasVerdes,0.06876501292246177,0.0
0,2a5SalariosMinimos,DistanciaPatrimonioHistorico,-0.10725763376774153,0.0
0,2a5SalariosMinimos,DistanciaStartup,-0.3634590010160932,0.0
0,2a5SalariosMinimos,DistanciaTransportePublico,-0.17639570663768908,0.0
